2022-01-01;07:46;305°33’;11:54;+18°11’;16:03;054°30’;
2022-01-02;07:46;305°24’;11:55;+18°16’;16:04;054°39’;
2022-01-03;07:46;305°14’;11:55;+18°22’;16:05;054°49’;
2022-01-04;07:45;305°04’;11:56;+18°28’;16:06;055°00’;
2022-01-05;07:45;304°52’;11:56;+18°35’;16:07;055°12’;
2022-01-06;07:45;304°40’;11:56;+18°42’;16:08;055°24’;
2022-01-07;07:45;304°28’;11:57;+18°49’;16:09;055°37’;
2022-01-08;07:44;304°14’;11:57;+18°57’;16:11;055°51’;
2022-01-09;07:44;304°00’;11:58;+19°06’;16:12;056°05’;
2022-01-10;07:43;303°45’;11:58;+19°15’;16:13;056°20’;
2022-01-11;07:43;303°30’;11:59;+19°24’;16:15;056°36’;
2022-01-12;07:42;303°13’;11:59;+19°34’;16:16;056°53’;
2022-01-13;07:42;302°57’;11:59;+19°44’;16:17;057°10’;
2022-01-14;07:41;302°39’;11:59;+19°54’;16:19;057°28’;
2022-01-15;07:40;302°21’;12:00;+20°05’;16:20;057°46’;
2022-01-16;07:40;302°02’;12:00;+20°17’;16:22;058°05’;
2022-01-17;07:39;301°42’;12:01;+20°28’;16:23;058°25’;
2022-01-18;07:38;301°22’;12:01;+20°40’;16:24;058°45’;
2022-01-19;07:37;301°02’;12:01;+20°53’;16:26;059°06’;
2022-01-20;07:36;300°40’;12:02;+21°06’;16:27;059°28’;
2022-01-21;07:35;300°18’;12:02;+21°19’;16:29;059°50’;
2022-01-22;07:34;299°56’;12:02;+21°33’;16:31;060°12’;
2022-01-23;07:33;299°33’;12:02;+21°47’;16:32;060°36’;
2022-01-24;07:32;299°10’;12:03;+22°01’;16:34;060°59’;
2022-01-25;07:31;298°46’;12:03;+22°16’;16:35;061°24’;
2022-01-26;07:30;298°21’;12:03;+22°31’;16:37;061°48’;
2022-01-27;07:29;297°56’;12:03;+22°46’;16:38;062°14’;
2022-01-28;07:28;297°30’;12:04;+23°02’;16:40;062°39’;
2022-01-29;07:26;297°05’;12:04;+23°18’;16:42;063°06’;
2022-01-30;07:25;296°38’;12:04;+23°34’;16:43;063°32’;
2022-01-31;07:24;296°11’;12:04;+23°51’;16:45;063°59’;
2022-02-01;07:22;295°44’;12:04;+24°08’;16:47;064°27’;
2022-02-02;07:21;295°16’;12:04;+24°25’;16:48;064°55’;
2022-02-03;07:20;294°48’;12:04;+24°43’;16:50;065°23’;
2022-02-04;07:18;294°19’;12:05;+25°01’;16:52;065°52’;
2022-02-05;07:17;293°50’;12:05;+25°19’;16:53;066°21’;
2022-02-06;07:15;293°21’;12:05;+25°38’;16:55;066°51’;
2022-02-07;07:14;292°52’;12:05;+25°56’;16:57;067°21’;
2022-02-08;07:12;292°22’;12:05;+26°15’;16:58;067°51’;
2022-02-09;07:10;291°51’;12:05;+26°34’;16:59;068°21’;
2022-02-10;07:09;291°21’;12:05;+26°54’;17:02;068°52’;
2022-02-11;07:07;290°50’;12:05;+27°14’;17:03;069°23’;
2022-02-12;07:06;290°18’;12:05;+27°33’;17:05;069°55’;
2022-02-13;07:04;289°47’;12:05;+27°54’;17:07;070°26’;
2022-02-14;07:02;289°15’;12:05;+28°14’;17:08;070°59’;
2022-02-15;07:00;288°43’;12:05;+28°34’;17:10;071°31’;
2022-02-16;06:59;288°11’;12:05;+28°55’;17:11;072°03’;
2022-02-17;06:57;287°38’;12:05;+29°16’;17:13;072°36’;
2022-02-18;06:55;287°05’;12:05;+29°37’;17:15;073°09’;
2022-02-19;06:53;286°32’;12:04;+29°59’;17:16;073°42’;
2022-02-20;06:51;285°59’;12:04;+30°20’;17:18;074°16’;
2022-02-21;06:50;285°25’;12:04;+30°42’;17:20;074°49’;
2022-02-22;06:48;284°52’;12:04;+31°04’;17:21;075°23’;
2022-02-23;06:46;284°18’;12:04;+31°26’;17:23;075°57’;
2022-02-24;06:44;283°44’;12:04;+31°48’;17:24;076°32’;
